,Group
"['Food and Drink', 'Restaurants', 'Fast Food']Chick-fil-A",428
"['Travel', 'Public Transportation Services']VENTRA MOBILE IL 10/14",372
"['Shops', 'Beauty Products']Sephora",141
"['Shops', 'Pharmacies']Duane Reade",133
"['Shops', 'Digital Purchase']GLOBALPOK GOLD COINS TA XBIEX 06/20",129
"['Shops', 'Supermarkets and Groceries']ADEN FOOD MARKET",117
"['Shops', 'Discount Stores']Dollar General",116
"['Travel', 'Parking']NYCDOT PARKING METERS LONG IS CITY NY 07/31",112
"['Service', 'Insurance']State Farm",112
"['Transfer', 'Debit']ALLY CASHBACK",103
"['Travel', 'Gas Stations']FOOD SMAR 2901 W ARMIT CHICAGO IL 11/04",94
"['Food and Drink', 'Restaurants', 'Fast Food']Panda Express",88
"['Travel', 'Gas Stations']QuikTrip",82
"['Shops', 'Discount Stores']Dollar Tree",79
"['Travel', 'Public Transportation Services']Metropolitan Transportation Authority",73
"['Shops', 'Digital Purchase']Audible",66
"['Shops', 'Convenience Stores']Cumberland Farms",64
['Food and Drink']PepsiCo,62
"['Travel', 'Gas Stations']Sheetz",62
"['Travel', 'Parking']SPOTHERO 844-356-805 HTTPSSPOTHERO IL 02/19",52
"['Food and Drink', 'Restaurants', 'Fast Food']White Castle",49
"['Service', 'Shipping and Freight']UPS",48
"['Food and Drink', 'Restaurants']Hover.Com",47
"['Shops', 'Clothing and Accessories']T.J.Maxx",46
"['Travel', 'Parking']POS DEBIT NYCDOT PARKING METERS",41
"['Shops', 'Pets']CHEWY.COM",40
"['Food and Drink', 'Restaurants']Tropical Smoothie Cafe",35
"['Shops', 'Beauty Products']ULTA",33
"['Food and Drink', 'Restaurants']Chick-fil-A",31
"['Shops', 'Clothing and Accessories']Ross Dress for Less",30
"['Service', 'Personal Care']GLOBALPOK GOLD COIN gp@vgw.co 10/03",26
"['Shops', 'Pharmacies']POS DEBIT JEWEL OSCO 3474",22
"['Shops', 'Digital Purchase']POS DEBIT GLOBALPOK GOLD COINS TA XBIEX",19
"['Shops', 'Pets']CHEWY INC",19
"['Travel', 'Parking']SPOTHERO 8443568054 IL 03/28",18
"['Travel', 'Gas Stations']POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742",18
"['Food and Drink', 'Restaurants']Chick-Fil-A",18
"['Travel', 'Gas Stations']Cumberland Farms",16
"['Food and Drink', 'Restaurants']White Castle",12
"['Shops', 'Bookstores']Audible",12
"['Food and Drink', 'Restaurants']DUNKIN #338221 Q35 BROOKLYN NY 07/06",11
"['Food and Drink', 'Restaurants']Panda Express",10
"['Travel', 'Parking']NYCDOT PARKNYC NY 01/17",10
"['Food and Drink', 'Restaurants']DUNKIN #331707 Q35 BROOKLYN NY 09/13",9
"['Travel', 'Gas Stations']Marathon Petro27",8
"['Travel', 'Gas Stations']Debit Purchase -visa 12/27 card 6332 Marathon Petro12versailles",7
"['Shops', 'Supermarkets and Groceries']Jewel-Osco",6
"['Service']WIX.COM, INC.",6
"['Shops', 'Clothing and Accessories']T.J. MAXX 2099 1/2 N MELROSE PARK IL 08/24",6
"['Shops', 'Clothing and Accessories']T.J. Maxx",5
"['Food and Drink', 'Restaurants']DUNKIN #340441 Q35 BROOKLYN NY 02/23",5
"['Shops', 'Clothing and Accessories']POINT OF SALE DEBIT ROSS STORE #57",5
"['Service', 'Food and Beverage']DOORDASH*CHICK-FIL WWW.DOORDASH.",5
"['Travel', 'Public Transportation Services']VENTRA VENDING 10701",5
"['Shops', 'Pharmacies']JEWEL OSCO 3474 PALATINE IL 06/15",5
"['Service']Wix.Com, Inc",4
"['Shops', 'Beauty Products']POS DEBIT ULTA #1146",4
"['Shops', 'Pets']CHEWY.COM FL 02/04",4
"['Food and Drink', 'Restaurants']DUNKIN #307815 Q35 BROOKLYN NY 10/06",4
"['Service', 'Food and Beverage']DOORDASH*DUNKIN WWW.DOORDASH.",4
"['Shops', 'Pets']VISA DDA PUR 469216 CHEWY COM *",4
"['Shops', 'Clothing and Accessories']ROSS STORES #1892 HOMEWOOD IL 01/07",4
"['Shops', 'Clothing and Accessories']POS DEBIT ROSS STORES #1469",4
"['Shops', 'Clothing and Accessories']Withdrawal Debit T J MAXX # / 1123",4
"['Travel', 'Parking']SPOTHERO 8443568054",4
"['Service']WIX*Wix.Com, In",4
"['Food and Drink', 'Restaurants', 'Dessert']Smoothie King",4
"['Food and Drink', 'Restaurants']CHICK-FIL-",4
"['Shops', 'Department Stores']ROSS STORES #1 10/23 PURCHASE CRESTWOOD IL DEBIT CARD *0044",4
"['Travel', 'Public Transportation Services']VENTRA MOBILE CHICAGO IL 09/18",3
"['Shops', 'Clothing and Accessories']T J MAXX 1419 3RD AVE",3
"['Service']WIX*WIX.COM, IN",3
"['Food and Drink', 'Restaurants']PANDA EXPRES",3
"['Service', 'Personal Care']POS DEBIT GLOBALPOK GOLD COIN GP@VGW.CO",3
"['Travel', 'Public Transportation Services']VENTRA VENDING 03002",3
"['Travel', 'Gas Stations']MARATHON PETRO120741",3
['Service']Hover.Com,3
['Food and Drink']Smoothie King,3
"['Shops', 'Clothing and Accessories']T J MAXX 18059 TAMIAM",3
['Service']MARATHON PETRO191684,3
"['Shops', 'Pharmacies']SHAWS OSCO 0057",3
"['Shops', 'Pharmacies']JEWEL OSCO 3485 LAKE ZURICH IL 07/04",3
"['Travel', 'Parking']SPOTHERO HTTPSSPOTHERO",3
"['Shops', 'Clothing and Accessories']T J MAXX 815 HUTCHINS BRONX NY 12/31",3
"['Food and Drink', 'Restaurants']HUDSON-DUNKIN ST1710",3
"['Travel', 'Gas Stations']POS DEBIT FOOD SMAR 2901 W ARMIT",3
"['Shops', 'Beauty Products']ULTA 1402 NEW YORK NY 10/17",3
['Service']WIX.COM*PREMIUM-PLAN NY 01/13,3
"['Service', 'Shipping and Freight']THE UPS STORE # 65",2
"['Travel', 'Gas Stations']MARATHON PETRO1207 02-28 FORT",2
"['Shops', 'Supermarkets and Groceries']PETE'S GENERAL",2
"['Travel', 'Gas Stations']MARATHON PETRO1207 07-02 FORT",2
"['Travel', 'Public Transportation Services']Ventra 1118 W. Thor CHICAGO IL 01/28",2
"['Food and Drink', 'Restaurants']VISA DDA PUR 476501 TROPICAL SMOOTHIE NC49 CHARLOTTE *",2
"['Shops', 'Beauty Products']ULTA #1082 08/30 PURCHASE",2
"['Travel', 'Tolls and Fees']MAINE TURNPIKE AUTHORITY",2
"['Shops', 'Pets']ATM DEBIT CHEWY.COM",2
"['Travel', 'Gas Stations']MARATHON PETRO1595 04-21 FLORENC",2
"['Shops', 'Supermarkets and Groceries']JEWEL OSCO 309 10/11 PURCHASE ALSIP IL DEBIT CARD *0044",2
"['Shops', 'Beauty Products']ULTA.COM 05-17 IL 8",2
"['Shops', 'Clothing and Accessories']ROSS STORES #1656 RESEDA CA 01/03",2
"['Service', 'Food and Beverage'](FIS) DOORDASH*CHICK- DOORDASH*CHICK-FIL- +x9470 CA;4961",2
['Service']POS DEBIT WIX.COM*PREMIUM-PLAN NY 00NN09018,2
"['Travel', 'Gas Stations']MARATHON PETRO144469",2
"['Service']WIX*Wix.Com, Inc., 415-4499034, CA, US",2
"['Shops', 'Pharmacies']POS DEBIT JEWEL OSCO 4057 FRANKLIN PAR",2
"['Travel', 'Public Transportation Services']VENTRA VENDING 02202",2
"['Shops', 'Beauty Products']ULTA # 476 SAN MARCOS TX 12/03",2
"['Travel', 'Gas Stations']MARATHON PETRO162255 CARRABE",2
"['Travel', 'Public Transportation Services']VENTRA VENDING 12001 CHICAGO IL 07/25",2
"['Travel', 'Parking']POS DEBIT SPOTHERO CHICAGO IL 00NN06862",2
['Service']Recurring Payment - WIX.COM*Premium-Pl,2
"['Shops', 'Pharmacies']JEWEL OSCO 309 09/01 PURCHASE ALSIP IL DEBIT CARD *7258",2
"['Shops', 'Supermarkets and Groceries']Casey's General Store",2
"['Service', 'Business Services']WIX.COM PREMIUM-PLAN 4154494724",2
"['Travel', 'Gas Stations']MARATHON PETRO1207 04-26 FORT",2
"['Shops', 'Beauty Products']ULTA #1138 CHICAGO IL 04/26",2
